category_id,parent_category,category_name,description
100,나사공급시스템,수동나사공급기,작업자가 픽업하는 탁상형 공급기
110,나사공급시스템,자동나사공급기,로봇 및 자동화 라인 연동형 공급기
120,나사공급시스템,부품/호퍼,대용량 호퍼 및 교체 부품
200,체결시스템,전동드라이버,산업용 정밀 전동 드라이버
210,체결시스템,너트런너,자동화 라인용 체결 모듈
220,체결시스템,핸디체결기,자동 나사 압송 및 체결 핸디 유닛
230,체결시스템,에어툴,에어 드라이버 및 펄스 렌치
300,측정/계측,토크측정기,드라이버 토크 설정 및 검사 장비
310,측정/계측,스크류카운터,나사 체결 수량 관리 및 누락 방지
400,납땜/SMT,인두기,수동 납땜용 스테이션 및 인두
410,납땜/SMT,납땜로봇,자동 납땜 시스템 및 유닛
420,납땜/SMT,주변기기,납연기 제거기 및 팁 클리너
500,자동화부품,토크암/스탠드,드라이버 반동 흡수 및 위치 고정 장치
510,자동화부품,비트/소켓,드라이버용 각종 비트
600,절단/가공,테이프커팅기,산업용 테이프 자동 절단기
610,절단/가공,에어니퍼,수지 및 금속 절단용 공압 공구
